mesh_id,mesh_label,mesh_dim,mesh_category,version_order,version_id,version_label,phase,best_seconds,speedup_vs_main_sans_rien_same_phase,gain_pct_vs_main_sans_rien_same_phase
3d_peu_noeuds,3D peu de noeuds,3,peu,1,main_sans_rien,Main sans optimisation,system_assembly,3.582452,1.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,1,main_sans_rien,Main sans optimisation,vertical_air_transfer_prepare,0.117566,1.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,animation_figure,0.154849,1.398692,28.50
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,element_activity_update,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,element_burn_initial,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,element_burn_update,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,frame_calculation,3.019327,0.995431,-0.46
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,headless_calculation_total,3.021067,0.995474,-0.45
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,initial_conditions,0.000068,0.985294,-1.49
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,material_burn_delta_update,1.830506,1.061851,5.82
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,mesh_load,0.095306,0.980033,-2.04
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,node_freeze_update,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,system_assembly,3.637725,0.984806,-1.54
3d_peu_noeuds,3D peu de noeuds,3,peu,2,fancy_reassembling,Fancy reassembling,vertical_air_transfer_prepare,0.153616,0.765324,-30.66
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,animation_figure,0.149200,1.451649,31.11
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,element_burn_initial,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,element_burn_update,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,frame_calculation,3.004395,1.000378,0.04
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,headless_calculation_total,3.006860,1.000178,0.02
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,initial_conditions,0.000064,1.046875,4.48
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,material_burn_delta_update,1.554163,1.250656,20.04
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,mesh_load,0.087125,1.072057,6.72
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,system_assembly,3.237613,1.106510,9.63
3d_peu_noeuds,3D peu de noeuds,3,peu,3,calcul_matriciel,Calcul matriciel,vertical_air_transfer_prepare,0.125569,0.936266,-6.81
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,element_activity_update,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,element_burn_initial,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,element_burn_update,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,frame_calculation,3.001254,1.001425,0.14
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,headless_calculation_total,3.002469,1.001640,0.16
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,horizontal_air_transfer_prepare,0.108919,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,initial_conditions,0.000076,0.881579,-13.43
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,material_burn_delta_update,1.140214,1.704701,41.34
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,mesh_load,0.092387,1.010997,1.09
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,node_freeze_update,0.000000,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,structural_fun_prepare,0.000677,0.000000,0.00
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,system_assembly,3.241146,1.105304,9.53
3d_peu_noeuds,3D peu de noeuds,3,peu,4,main_opti,Main opti,vertical_air_transfer_prepare,0.123265,0.953766,-4.85
