phase,seconds,frame,details
mesh_load,0.087125,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_3d_small.msh;dim=3
system_assembly,3.237613,,nodes=469;elements=1097;dim=3
vertical_air_transfer_prepare,0.125569,,enabled=True;attenuation=0.25;radius=0.0
initial_conditions,0.000064,,src_x=2.0;src_y=2.0;src_z=0.5;src_radius=1.0;src_temp=800.0
element_burn_initial,0.000000,,changed_elements=97
animation_figure,0.149200,,
frame_calculation,0.005926,0,sim_time=100.00000
element_burn_update,0.000000,,changed_elements=23
material_burn_delta_update,0.013882,,changed_elements=23
frame_calculation,0.023611,1,sim_time=200.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.013682,,changed_elements=6
frame_calculation,0.022239,2,sim_time=300.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.019383,,changed_elements=5
frame_calculation,0.030473,3,sim_time=400.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.015198,,changed_elements=3
frame_calculation,0.028490,4,sim_time=500.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.018494,,changed_elements=4
frame_calculation,0.029553,5,sim_time=600.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.014494,,changed_elements=4
frame_calculation,0.027654,6,sim_time=700.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.015491,,changed_elements=3
frame_calculation,0.025582,7,sim_time=800.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.015921,,changed_elements=1
frame_calculation,0.027832,8,sim_time=900.00000
frame_calculation,0.012226,9,sim_time=1000.00000
frame_calculation,0.014592,10,sim_time=1100.00000
frame_calculation,0.011577,11,sim_time=1200.00000
frame_calculation,0.011200,12,sim_time=1300.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.018304,,changed_elements=1
frame_calculation,0.029683,13,sim_time=1400.00000
frame_calculation,0.012034,14,sim_time=1500.00000
element_burn_update,0.000000,,changed_elements=2
material_burn_delta_update,0.015719,,changed_elements=2
frame_calculation,0.026022,15,sim_time=1600.00000
frame_calculation,0.011201,16,sim_time=1700.00000
element_burn_update,0.000000,,changed_elements=2
material_burn_delta_update,0.016637,,changed_elements=2
frame_calculation,0.031655,17,sim_time=1800.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.012873,,changed_elements=5
frame_calculation,0.020525,18,sim_time=1900.00000
frame_calculation,0.007443,19,sim_time=2000.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.012784,,changed_elements=5
frame_calculation,0.019923,20,sim_time=2100.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.012871,,changed_elements=6
frame_calculation,0.019742,21,sim_time=2200.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.012502,,changed_elements=7
frame_calculation,0.019171,22,sim_time=2300.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.012909,,changed_elements=7
frame_calculation,0.020136,23,sim_time=2400.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.023254,,changed_elements=7
frame_calculation,0.030702,24,sim_time=2500.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.019425,,changed_elements=5
frame_calculation,0.030899,25,sim_time=2600.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.016639,,changed_elements=3
frame_calculation,0.032260,26,sim_time=2700.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.013414,,changed_elements=6
frame_calculation,0.023547,27,sim_time=2800.00000
element_burn_update,0.000000,,changed_elements=13
material_burn_delta_update,0.012849,,changed_elements=13
frame_calculation,0.021303,28,sim_time=2900.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.012629,,changed_elements=1
frame_calculation,0.021225,29,sim_time=3000.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.012875,,changed_elements=4
frame_calculation,0.022118,30,sim_time=3100.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.014793,,changed_elements=6
frame_calculation,0.024620,31,sim_time=3200.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.016680,,changed_elements=6
frame_calculation,0.028615,32,sim_time=3300.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.014480,,changed_elements=4
frame_calculation,0.025830,33,sim_time=3400.00000
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.021866,,changed_elements=9
frame_calculation,0.033828,34,sim_time=3500.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.013348,,changed_elements=4
frame_calculation,0.024339,35,sim_time=3600.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.014986,,changed_elements=4
frame_calculation,0.027360,36,sim_time=3700.00000
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.013554,,changed_elements=9
frame_calculation,0.024891,37,sim_time=3800.00000
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.012887,,changed_elements=8
frame_calculation,0.024416,38,sim_time=3900.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.012854,,changed_elements=7
frame_calculation,0.024981,39,sim_time=4000.00000
