phase,seconds,frame,details
frame_calculation,0.034070,33,sim_time=3400.00000
node_freeze_update,0.000000,,checked=297;frozen=0;thawed=2;frozen_total=172
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.026063,,changed_elements=8
element_activity_update,0.000000,,checked=49;frozen=0;reactivated=8;active=49
frame_calculation,0.040365,34,sim_time=3500.00000
node_freeze_update,0.000000,,checked=298;frozen=1;thawed=1;frozen_total=172
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.021728,,changed_elements=5
element_activity_update,0.000000,,checked=66;frozen=0;reactivated=22;active=66
frame_calculation,0.037630,35,sim_time=3600.00000
node_freeze_update,0.000000,,checked=302;frozen=0;thawed=5;frozen_total=167
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.019599,,changed_elements=4
frame_calculation,0.034226,36,sim_time=3700.00000
node_freeze_update,0.000000,,checked=308;frozen=0;thawed=6;frozen_total=161
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.029114,,changed_elements=9
element_activity_update,0.000000,,checked=58;frozen=0;reactivated=5;active=58
frame_calculation,0.044865,37,sim_time=3800.00000
node_freeze_update,0.000000,,checked=309;frozen=0;thawed=1;frozen_total=160
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.026481,,changed_elements=7
element_activity_update,0.000000,,checked=52;frozen=0;reactivated=1;active=52
frame_calculation,0.041183,38,sim_time=3900.00000
node_freeze_update,0.000000,,checked=311;frozen=9;thawed=2;frozen_total=167
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.029186,,changed_elements=8
element_activity_update,0.000000,,checked=64;frozen=0;reactivated=20;active=64
frame_calculation,0.043903,39,sim_time=4000.00000
node_freeze_update,0.000000,,checked=308;frozen=4;thawed=6;frozen_total=165
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.018686,,changed_elements=4
element_activity_update,0.000000,,checked=72;frozen=0;reactivated=12;active=72
frame_calculation,0.033939,40,sim_time=4100.00000
node_freeze_update,0.000000,,checked=307;frozen=1;thawed=3;frozen_total=163
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.020450,,changed_elements=5
element_activity_update,0.000000,,checked=72;frozen=0;reactivated=5;active=72
frame_calculation,0.036154,41,sim_time=4200.00000
node_freeze_update,0.000000,,checked=311;frozen=0;thawed=5;frozen_total=158
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.023848,,changed_elements=5
frame_calculation,0.040906,42,sim_time=4300.00000
node_freeze_update,0.000000,,checked=315;frozen=2;thawed=4;frozen_total=156
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.031019,,changed_elements=4
element_activity_update,0.000000,,checked=64;frozen=0;reactivated=1;active=64
frame_calculation,0.050788,43,sim_time=4400.00000
node_freeze_update,0.000000,,checked=315;frozen=3;thawed=2;frozen_total=157
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.032072,,changed_elements=7
frame_calculation,0.049483,44,sim_time=4500.00000
node_freeze_update,0.000000,,checked=318;frozen=0;thawed=6;frozen_total=151
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.019466,,changed_elements=3
frame_calculation,0.039014,45,sim_time=4600.00000
node_freeze_update,0.000000,,checked=323;frozen=1;thawed=5;frozen_total=147
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.030687,,changed_elements=9
element_activity_update,0.000000,,checked=53;frozen=0;reactivated=8;active=53
frame_calculation,0.045435,46,sim_time=4700.00000
