phase,seconds,frame,details
mesh_load,0.092387,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_3d_small.msh;dim=3
system_assembly,3.241146,,nodes=469;elements=1097;dim=3
structural_fun_prepare,0.000677,,enabled=False;radius=0.0;load_factor=1.0
vertical_air_transfer_prepare,0.123265,,enabled=True;attenuation=0.25;radius=0.0
horizontal_air_transfer_prepare,0.108919,,enabled=True;attenuation=0.35;radius=0.0;power_fraction=0.35
initial_conditions,0.000076,,src_x=0.0;src_y=0.0;src_z=0.0;src_radius=1.0;src_temp=800.0;source_time=0.0
element_burn_initial,0.000000,,changed_elements=40
frame_calculation,0.008062,0,sim_time=100.00000
element_burn_update,0.000000,,changed_elements=3
material_burn_delta_update,0.014979,,changed_elements=3
frame_calculation,0.028182,1,sim_time=200.00000
element_burn_update,0.000000,,changed_elements=13
material_burn_delta_update,0.014926,,changed_elements=13
frame_calculation,0.029428,2,sim_time=300.00000
element_burn_update,0.000000,,changed_elements=18
material_burn_delta_update,0.018057,,changed_elements=18
frame_calculation,0.031629,3,sim_time=400.00000
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.014414,,changed_elements=10
frame_calculation,0.031060,4,sim_time=500.00000
element_burn_update,0.000000,,changed_elements=11
material_burn_delta_update,0.014115,,changed_elements=11
frame_calculation,0.029988,5,sim_time=600.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.014778,,changed_elements=5
frame_calculation,0.028225,6,sim_time=700.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.012868,,changed_elements=6
frame_calculation,0.027611,7,sim_time=800.00000
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.013814,,changed_elements=9
frame_calculation,0.028941,8,sim_time=900.00000
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.013545,,changed_elements=10
frame_calculation,0.028813,9,sim_time=1000.00000
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.014487,,changed_elements=4
frame_calculation,0.030346,10,sim_time=1100.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.014070,,changed_elements=7
frame_calculation,0.031839,11,sim_time=1200.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.013007,,changed_elements=7
frame_calculation,0.029724,12,sim_time=1300.00000
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.013687,,changed_elements=5
frame_calculation,0.031414,13,sim_time=1400.00000
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.013103,,changed_elements=6
frame_calculation,0.031364,14,sim_time=1500.00000
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.013145,,changed_elements=8
frame_calculation,0.032157,15,sim_time=1600.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.014043,,changed_elements=7
frame_calculation,0.035660,16,sim_time=1700.00000
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.013965,,changed_elements=8
frame_calculation,0.035233,17,sim_time=1800.00000
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.014494,,changed_elements=7
frame_calculation,0.031890,18,sim_time=1900.00000
node_freeze_update,0.000000,,checked=469;frozen=219;thawed=0;frozen_total=219
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.021938,,changed_elements=4
frame_calculation,0.044757,19,sim_time=2000.00000
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.016618,,changed_elements=8
frame_calculation,0.046316,20,sim_time=2100.00000
node_freeze_update,0.000000,,checked=254;frozen=0;thawed=4;frozen_total=215
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.013726,,changed_elements=7
frame_calculation,0.043745,21,sim_time=2200.00000
node_freeze_update,0.000000,,checked=259;frozen=0;thawed=5;frozen_total=210
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.016157,,changed_elements=10
frame_calculation,0.039476,22,sim_time=2300.00000
node_freeze_update,0.000000,,checked=263;frozen=0;thawed=4;frozen_total=206
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.017077,,changed_elements=4
frame_calculation,0.042761,23,sim_time=2400.00000
node_freeze_update,0.000000,,checked=264;frozen=0;thawed=1;frozen_total=205
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.016438,,changed_elements=7
element_activity_update,0.000000,,checked=873;frozen=872;reactivated=0;active=1
frame_calculation,0.042665,24,sim_time=2500.00000
node_freeze_update,0.000000,,checked=271;frozen=0;thawed=7;frozen_total=198
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.013768,,changed_elements=6
element_activity_update,0.000000,,checked=31;frozen=0;reactivated=36;active=31
frame_calculation,0.035968,25,sim_time=2600.00000
node_freeze_update,0.000000,,checked=275;frozen=0;thawed=4;frozen_total=194
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.013817,,changed_elements=4
element_activity_update,0.000000,,checked=30;frozen=0;reactivated=3;active=30
frame_calculation,0.046065,26,sim_time=2700.00000
node_freeze_update,0.000000,,checked=279;frozen=0;thawed=4;frozen_total=190
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.013036,,changed_elements=7
element_activity_update,0.000000,,checked=40;frozen=0;reactivated=17;active=40
frame_calculation,0.034551,27,sim_time=2800.00000
node_freeze_update,0.000000,,checked=282;frozen=0;thawed=3;frozen_total=187
element_burn_update,0.000000,,changed_elements=12
material_burn_delta_update,0.012843,,changed_elements=12
element_activity_update,0.000000,,checked=42;frozen=0;reactivated=14;active=42
frame_calculation,0.032203,28,sim_time=2900.00000
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.012833,,changed_elements=1
element_activity_update,0.000000,,checked=55;frozen=0;reactivated=14;active=55
frame_calculation,0.032206,29,sim_time=3000.00000
node_freeze_update,0.000000,,checked=287;frozen=0;thawed=5;frozen_total=182
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.012612,,changed_elements=9
element_activity_update,0.000000,,checked=63;frozen=0;reactivated=17;active=63
frame_calculation,0.033300,30,sim_time=3100.00000
node_freeze_update,0.000000,,checked=290;frozen=0;thawed=3;frozen_total=179
element_burn_update,0.000000,,changed_elements=6
material_burn_delta_update,0.012820,,changed_elements=6
element_activity_update,0.000000,,checked=58;frozen=0;reactivated=1;active=58
frame_calculation,0.032239,31,sim_time=3200.00000
node_freeze_update,0.000000,,checked=291;frozen=0;thawed=1;frozen_total=178
element_burn_update,0.000000,,changed_elements=11
material_burn_delta_update,0.012668,,changed_elements=11
element_activity_update,0.000000,,checked=53;frozen=0;reactivated=6;active=53
frame_calculation,0.032516,32,sim_time=3300.00000
node_freeze_update,0.000000,,checked=293;frozen=0;thawed=2;frozen_total=176
element_burn_update,0.000000,,changed_elements=14
material_burn_delta_update,0.012968,,changed_elements=14
element_activity_update,0.000000,,checked=56;frozen=0;reactivated=17;active=56
frame_calculation,0.032705,33,sim_time=3400.00000
node_freeze_update,0.000000,,checked=296;frozen=0;thawed=3;frozen_total=173
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.012812,,changed_elements=7
element_activity_update,0.000000,,checked=55;frozen=0;reactivated=6;active=55
frame_calculation,0.032672,34,sim_time=3500.00000
node_freeze_update,0.000000,,checked=300;frozen=0;thawed=4;frozen_total=169
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.013838,,changed_elements=10
element_activity_update,0.000000,,checked=50;frozen=0;reactivated=5;active=50
frame_calculation,0.035082,35,sim_time=3600.00000
node_freeze_update,0.000000,,checked=307;frozen=0;thawed=7;frozen_total=162
element_burn_update,0.000000,,changed_elements=13
material_burn_delta_update,0.014323,,changed_elements=13
element_activity_update,0.000000,,checked=40;frozen=0;reactivated=3;active=40
frame_calculation,0.036612,36,sim_time=3700.00000
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.013530,,changed_elements=9
element_activity_update,0.000000,,checked=39;frozen=0;reactivated=8;active=39
frame_calculation,0.036083,37,sim_time=3800.00000
node_freeze_update,0.000000,,checked=312;frozen=0;thawed=5;frozen_total=157
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.013175,,changed_elements=10
element_activity_update,0.000000,,checked=49;frozen=0;reactivated=20;active=49
frame_calculation,0.036346,38,sim_time=3900.00000
node_freeze_update,0.000000,,checked=319;frozen=0;thawed=7;frozen_total=150
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.016031,,changed_elements=7
element_activity_update,0.000000,,checked=56;frozen=0;reactivated=14;active=56
frame_calculation,0.038086,39,sim_time=4000.00000
node_freeze_update,0.000000,,checked=322;frozen=0;thawed=3;frozen_total=147
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.013499,,changed_elements=9
element_activity_update,0.000000,,checked=56;frozen=0;reactivated=9;active=56
frame_calculation,0.036263,40,sim_time=4100.00000
node_freeze_update,0.000000,,checked=328;frozen=0;thawed=6;frozen_total=141
element_burn_update,0.000000,,changed_elements=11
material_burn_delta_update,0.013016,,changed_elements=11
element_activity_update,0.000000,,checked=66;frozen=0;reactivated=21;active=66
frame_calculation,0.034843,41,sim_time=4200.00000
node_freeze_update,0.000000,,checked=332;frozen=0;thawed=4;frozen_total=137
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.013059,,changed_elements=7
element_activity_update,0.000000,,checked=66;frozen=0;reactivated=7;active=66
frame_calculation,0.034664,42,sim_time=4300.00000
element_burn_update,0.000000,,changed_elements=11
material_burn_delta_update,0.012639,,changed_elements=11
element_activity_update,0.000000,,checked=69;frozen=0;reactivated=14;active=69
frame_calculation,0.035696,43,sim_time=4400.00000
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.014360,,changed_elements=10
element_activity_update,0.000000,,checked=72;frozen=0;reactivated=13;active=72
frame_calculation,0.039190,44,sim_time=4500.00000
node_freeze_update,0.000000,,checked=337;frozen=0;thawed=5;frozen_total=132
element_burn_update,0.000000,,changed_elements=11
material_burn_delta_update,0.013231,,changed_elements=11
element_activity_update,0.000000,,checked=68;frozen=0;reactivated=7;active=68
frame_calculation,0.039789,45,sim_time=4600.00000
node_freeze_update,0.000000,,checked=339;frozen=0;thawed=2;frozen_total=130
element_burn_update,0.000000,,changed_elements=16
material_burn_delta_update,0.012921,,changed_elements=16
element_activity_update,0.000000,,checked=70;frozen=0;reactivated=18;active=70
frame_calculation,0.037693,46,sim_time=4700.00000
node_freeze_update,0.000000,,checked=345;frozen=0;thawed=6;frozen_total=124
element_burn_update,0.000000,,changed_elements=12
material_burn_delta_update,0.013155,,changed_elements=12
element_activity_update,0.000000,,checked=70;frozen=0;reactivated=12;active=70
frame_calculation,0.037232,47,sim_time=4800.00000
node_freeze_update,0.000000,,checked=349;frozen=0;thawed=4;frozen_total=120
element_burn_update,0.000000,,changed_elements=8
material_burn_delta_update,0.013578,,changed_elements=8
element_activity_update,0.000000,,checked=75;frozen=0;reactivated=13;active=75
frame_calculation,0.039206,48,sim_time=4900.00000
node_freeze_update,0.000000,,checked=352;frozen=0;thawed=3;frozen_total=117
element_burn_update,0.000000,,changed_elements=12
material_burn_delta_update,0.013785,,changed_elements=12
element_activity_update,0.000000,,checked=78;frozen=5;reactivated=15;active=73
frame_calculation,0.039606,49,sim_time=5000.00000
node_freeze_update,0.000000,,checked=354;frozen=0;thawed=2;frozen_total=115
element_burn_update,0.000000,,changed_elements=14
material_burn_delta_update,0.014277,,changed_elements=14
element_activity_update,0.000000,,checked=82;frozen=0;reactivated=23;active=82
frame_calculation,0.041052,50,sim_time=5100.00000
