phase,seconds,frame,details
mesh_load,0.023502,,C:\Users\ericv\OneDrive\Documents\UNIF\Q6\Elements finis\projet\FEM-project\models\perf\plot_2d_small.msh;dim=2
system_assembly,0.711188,,nodes=268;elements=490;dim=2
vertical_air_transfer_prepare,0.000049,,enabled=False;attenuation=0.25;radius=0.0
initial_conditions,0.000070,,src_x=0.0;src_y=0.0;src_z=0.0;src_radius=0.05;src_temp=800.0
animation_figure,0.081105,,
frame_calculation,0.004205,0,sim_time=50.00000
frame_calculation,0.002901,1,sim_time=100.00000
frame_calculation,0.002661,2,sim_time=150.00000
frame_calculation,0.002793,3,sim_time=200.00000
frame_calculation,0.002950,4,sim_time=250.00000
frame_calculation,0.002716,5,sim_time=300.00000
frame_calculation,0.002568,6,sim_time=350.00000
frame_calculation,0.002551,7,sim_time=400.00000
frame_calculation,0.002544,8,sim_time=450.00000
frame_calculation,0.002995,9,sim_time=500.00000
frame_calculation,0.003281,10,sim_time=550.00000
frame_calculation,0.003076,11,sim_time=600.00000
frame_calculation,0.002686,12,sim_time=650.00000
frame_calculation,0.002550,13,sim_time=700.00000
frame_calculation,0.002519,14,sim_time=750.00000
frame_calculation,0.002812,15,sim_time=800.00000
frame_calculation,0.003232,16,sim_time=850.00000
frame_calculation,0.003108,17,sim_time=900.00000
frame_calculation,0.002689,18,sim_time=950.00000
node_freeze_update,0.000000,,checked=268;frozen=241;thawed=0;frozen_total=241
frame_calculation,0.002536,19,sim_time=1000.00000
node_freeze_update,0.000000,,checked=29;frozen=2;thawed=2;frozen_total=241
frame_calculation,0.007613,20,sim_time=1050.00000
frame_calculation,0.007498,21,sim_time=1100.00000
frame_calculation,0.010215,22,sim_time=1150.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
frame_calculation,0.007469,23,sim_time=1200.00000
node_freeze_update,0.000000,,checked=28;frozen=1;thawed=1;frozen_total=241
element_activity_update,0.000000,,checked=490;frozen=490;reactivated=0;active=0
frame_calculation,0.007831,24,sim_time=1250.00000
element_activity_update,0.000000,,checked=2;frozen=0;reactivated=2;active=2
frame_calculation,0.007788,25,sim_time=1300.00000
frame_calculation,0.007056,26,sim_time=1350.00000
frame_calculation,0.008436,27,sim_time=1400.00000
frame_calculation,0.007033,28,sim_time=1450.00000
